aggregationDepth,avgRMSE,elasticNetParam,regParam
2,7531.417902542122,0.0,0.01
3,7531.417902542121,0.0,0.01
2,7531.409766761927,0.5,0.01
3,7531.409766761927,0.5,0.01
2,7531.398744829595,1.0,0.01
3,7531.398744829598,1.0,0.01
2,7531.4174114594325,0.0,0.1
3,7531.417411459431,0.0,0.1
2,7531.354883867628,0.5,0.1
3,7531.354883867628,0.5,0.1
2,7531.305052162087,1.0,0.1
3,7531.305052162087,1.0,0.1
2,7531.415345958158,0.0,0.5
3,7531.415345958157,0.0,0.5
2,7531.152861946434,0.5,0.5
3,7531.152861946449,0.5,0.5
2,7530.9329517767765,1.0,0.5
3,7530.932951776776,1.0,0.5
