country,avg_salary
Bosnia and Herzegovina,82736.48286937902
South Sudan,82709.97218911402
Pakistan,82705.98684210527
American Samoa,82699.62982548916
Honduras,82671.89785875782
Central African Republic,82667.77476255088
Mali,82665.22318454363
Italy,82655.331373597
Mexico,82651.50321648944
Liberia,82647.33727810651
Cabo Verde,82642.6089280941
Timor-Leste,82636.72885741522
Hungary,82628.2944148573
Eswatini,82624.37318553709
"Hong Kong SAR, China",82617.69415532427
Belarus,82617.21246006389
Sao Tome and Principe,82616.96103545908
North Korea,82616.56602782883
Dominica,82614.28764530954
Czech Republic,82610.61474863315
South Africa,82608.37240455458
Puerto Rico,82604.57383279044
Brazil,82598.78520891737
Seychelles,82598.77209553367
Singapore,82594.81481481482
Kosovo,82594.25953375555
Uzbekistan,82594.03168533188
Zimbabwe,82593.39532339669
Qatar,82589.09042411309
Myanmar,82588.70431893687
Guinea,82583.96896370332
Saudi Arabia,82581.54793786824
New Zealand,82580.86944781963
Tuvalu,82580.20134228189
Guatemala,82580.1974913264
British Virgin Islands,82576.86695848255
Sudan,82575.7596218771
Guam,82575.70914902118
Azerbaijan,82574.44720659427
Brunei,82574.38577439934
"Korea, Rep.",82572.8025647876
Faroe Islands,82570.40667638098
Iceland,82566.85408667033
Republic Of Congo,82566.14604191696
Bahrain,82561.41398063404
Kuwait,82561.16633532141
Grenada,82559.8596301795
San Marino,82557.73762765122
French Polynesia,82557.46666666666
Botswana,82555.74188355246
Netherlands,82553.80383738092
Togo,82551.91586280815
Ethiopia,82551.4419852448
Finland,82550.27669051154
Iraq,82549.80612381334
Albania,82546.62764400692
Switzerland,82546.60621416189
Yemen,82545.30980496219
"Iran, Islamic Rep.",82544.4120376508
Estonia,82543.58224820622
Zambia,82542.68696227664
Jordan,82542.2630299757
Lesotho,82541.91497814859
Samoa,82539.77045242226
Cambodia,82539.03598099118
Malta,82538.19759160948
Northern Mariana Islands,82537.87465940055
Panama,82534.51797385621
Sierra Leone,82534.4827586207
Costa Rica,82533.37757133378
Kyrgyz Republic,82533.10593900482
Burundi,82530.49351344122
Nepal,82529.73903828321
Barbados,82529.29238262752
Chad,82529.1203641719
Marshall Islands,82528.92451569806
Monaco,82528.86146496815
Canada,82528.34035612342
Gibraltar,82527.64854446365
Ghana,82526.12144420132
St. Vincent and the Grenadines,82523.86934673367
Dominican Republic,82522.67890396382
Sri Lanka,82520.91776702837
Bolivia,82520.68550006695
Lithuania,82519.04303588615
Kenya,82518.42884046274
Armenia,82517.01044736138
Bermuda,82516.39453073144
Tunisia,82515.86142819219
Solomon Islands,82508.36875664187
Cyprus,82507.58185721954
Bulgaria,82504.7352274243
China,82504.72514308532
Turkmenistan,82501.37560592165
Haiti,82499.66069489685
Algeria,82498.30898268399
Ukraine,82496.09963049131
Mongolia,82495.82604012387
St. Kitts and Nevis,82495.04816171483
Colombia,82494.83568075117
Denmark,82493.87122844828
Kiribati,82492.89847448711
Montenegro,82492.58572752548
Afghanistan,82491.09431925516
Virgin Islands (U.S.),82489.7149771444
Fiji,82488.17656332107
Australia,82487.34008528784
