gender,role,role_count
Both,Interaction Designer,6784
Both,Network Administrator,5781
Both,User Interface Designer,4707
Both,User Experience Designer,4665
Both,Social Media Manager,4576
Both,Procurement Analyst,4536
Both,Quality Assurance Analyst,3557
Both,Office Manager,3535
Both,Social Media Analyst,3527
Both,Retirement Planner,3505
Female,Interaction Designer,6870
Female,Network Administrator,5857
Female,User Experience Designer,4646
Female,Procurement Analyst,4645
Female,Social Media Manager,4642
Female,User Interface Designer,4638
Female,Social Media Analyst,3627
Female,Quality Assurance Analyst,3584
Female,SEO Specialist,3526
Female,Data Analyst,3501
Male,Interaction Designer,6926
Male,Network Administrator,5832
Male,Social Media Manager,4727
Male,User Interface Designer,4691
Male,User Experience Designer,4624
Male,Procurement Analyst,4576
Male,Database Administrator,3585
Male,Executive Assistant,3580
Male,Social Media Analyst,3505
Male,SEO Specialist,3482
